epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2013.61,0.63636,0.37855,0.97546,0.95242,0.98068,0.97629,0.75366,0.88062,0.36173,1.09398,0.0004556,0.0004556,0.0004556
80,2038.52,0.62432,0.37829,0.96049,0.98521,0.96568,0.96952,0.74288,0.89043,0.36259,1.12485,0.0004358,0.0004358,0.0004358
81,2063.29,0.62021,0.37333,0.96718,0.96579,0.97101,0.97487,0.75099,0.88456,0.37135,1.12185,0.000416,0.000416,0.000416
82,2088.11,0.63041,0.37905,0.97015,0.96899,0.96618,0.97859,0.74953,0.88337,0.36963,1.13138,0.0003962,0.0003962,0.0003962
83,2113.24,0.60522,0.36335,0.95631,0.96183,0.97386,0.97908,0.74329,0.88913,0.36658,1.11758,0.0003764,0.0003764,0.0003764
84,2138.09,0.59308,0.36584,0.95276,0.96665,0.98015,0.98056,0.74366,0.89614,0.35789,1.12496,0.0003566,0.0003566,0.0003566
85,2163.19,0.60086,0.37092,0.95942,0.96056,0.96618,0.97606,0.74788,0.8815,0.36837,1.12045,0.0003368,0.0003368,0.0003368
86,2187.25,0.58554,0.36022,0.95119,0.96663,0.97945,0.9797,0.75195,0.87471,0.3529,1.11007,0.000317,0.000317,0.000317
87,2211.9,0.58299,0.35798,0.94898,0.96156,0.96664,0.97678,0.74938,0.87022,0.35423,1.10951,0.0002972,0.0002972,0.0002972
88,2236.56,0.59875,0.35979,0.95481,0.97113,0.97506,0.97652,0.75301,0.86816,0.34992,1.10753,0.0002774,0.0002774,0.0002774
89,2261.22,0.57285,0.34986,0.94271,0.96611,0.9641,0.97438,0.75247,0.8693,0.35279,1.1128,0.0002576,0.0002576,0.0002576
90,2285.95,0.57266,0.34352,0.93873,0.97319,0.97585,0.97372,0.75111,0.86345,0.34868,1.11001,0.0002378,0.0002378,0.0002378
91,2311.24,0.50041,0.274,0.89435,0.9659,0.97585,0.9772,0.74526,0.87549,0.36484,1.12542,0.000218,0.000218,0.000218
92,2333.58,0.50151,0.27269,0.89565,0.97127,0.97981,0.98086,0.75091,0.86708,0.35049,1.12016,0.0001982,0.0001982,0.0001982
93,2357,0.49652,0.26708,0.89528,0.9705,0.97585,0.9777,0.75107,0.86124,0.34791,1.11487,0.0001784,0.0001784,0.0001784
94,2380.36,0.48905,0.26399,0.89795,0.97128,0.98068,0.97534,0.75058,0.86842,0.3471,1.12684,0.0001586,0.0001586,0.0001586
95,2402.93,0.48327,0.26223,0.88865,0.96574,0.98068,0.97467,0.74988,0.85995,0.34577,1.12844,0.0001388,0.0001388,0.0001388
96,2425.85,0.47719,0.25808,0.89409,0.97669,0.96618,0.97351,0.75235,0.8525,0.34505,1.12192,0.000119,0.000119,0.000119
